ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias,Party Bias
1,Monmouth University,71,yes,no,yes,41,5.488592,0.8521127,-1.452013,-1.200763,A+,no,0.5892957,D +1.0
2,Field Research Corporation (Field Poll),25,yes,no,yes,17,3.8568,1,-2.54074,-1.142149,A+,no,-1.095745,R +3.0
3,Selzer & Company,37,yes,no,yes,24,4.620541,0.8378378,-1.624378,-1.119856,A+,no,-0.0074074,R +0.0
4,Elway Research,18,yes,no,yes,16,3.987778,0.8888889,-2.306804,-0.98125,A+,no,0.481087,D +1.4
5,Ciruli Associates,17,yes,no,yes,16,3.604118,0.9411765,-2.002258,-0.9534631,A+,no,-0.7176087,R +2.1
6,ABC News/Washington Post,51,yes,no,yes,46,3.021961,0.7843137,-1.041506,-0.8607013,A+,no,0.5755263,D +1.0
7,Grove Insight,29,yes,no,no,29,3.140344,0.8965517,-2.512963,-0.8169233,A,no,0.4808475,D +1.0
8,Marist College,146,yes,no,yes,85,5.395822,0.880137,-0.8353609,-0.8118232,A,no,-0.6708696,R +0.9
9,Muhlenberg College,22,yes,no,yes,21,3.493636,0.9090909,-1.327424,-0.7950342,A,no,-0.4982353,R +1.2
10,National Journal,12,yes,no,yes,12,2.596667,1,-2.609999,-0.7897959,A,no,-0.1785714,R +0.6
11,Public Policy Institute of California,12,yes,no,yes,8,4.065,1,-1.992754,-0.7877255,A,no,-0.7092106,R +3.4
12,SurveyUSA,763,no,no,yes,597,4.62772,0.9017038,-0.975466,-0.756749,A,no,0.090319,D +0.1
13,University of Cincinnati (Ohio Poll),38,yes,no,yes,29,3.729211,0.9342105,-0.9062568,-0.7280639,A,no,-1.453051,R +3.0
14,Siena College,42,yes,no,yes,38,5.331666,0.8452381,-0.8431964,-0.7085312,A,no,-0.2779412,R +0.5
15,Fairleigh Dickinson University (PublicMind),18,yes,no,yes,17,4.077778,0.9444444,-1.250776,-0.700291,A,no,0.0451064,D +0.1
16,"Research & Polling, Inc.",26,yes,no,no,25,4.136154,0.8461539,-1.693069,-0.6159658,A,no,-0.6661818,R +1.5
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,no,yes,9,6.39625,0.6458333,-0.7573535,-0.5699349,A,no,0.4471795,D +1.9
18,Marquette University,7,yes,no,yes,4,2.594286,1,-3.762563,-0.569905,A,no,-0.0594118,R +0.5
19,Behavior Research Center (Rocky Mountain),7,yes,no,yes,5,3.46,0.7142857,-2.487332,-0.569905,A,no,0.088,D +0.6
20,Blum & Weprin Associates,18,yes,no,no,16,4.557777,0.9444444,-2.592506,-0.563125,A,no,-1.034565,R +3.0
21,NBC News/Wall Street Journal,25,yes,no,yes,20,4.182001,0.74,-0.607908,-0.5093797,A-,no,0.4582,D +1.1
22,University of Connecticut,7,yes,no,yes,7,3.64,0.9285714,-1.555947,-0.4858951,A-,no,-0.3637838,R +1.9
23,Time/Abt SRBI,7,yes,no,yes,6,3.172857,1,-1.545493,-0.4839172,A-,no,0.4425,D +2.7
24,Angus Reid Global,29,no,yes,no,29,3.269655,0.9310345,-1.996648,-0.4183522,A-,no,-1.337627,R +2.7
25,Ipsos,49,no,yes,yes,43,4.254286,0.7755102,-0.9168712,-0.4141193,A-,no,0.1450685,D +0.2
26,Quinnipiac University,169,yes,no,yes,117,4.664438,0.872781,-0.3431102,-0.3986399,A-,no,-0.6578912,R +0.8
27,University of Arkansas,4,yes,no,yes,4,2.4325,1,-5.493968,-0.3982699,A-,no,0.2861765,D +2.4
28,IBD/TIPP,17,yes,no,no,17,2.307059,0.7647059,-1.555318,-0.3726976,A-,no,-0.7468085,R +2.1
29,CBS News/New York Times,55,yes,no,yes,45,4.729818,0.7545455,-0.2623802,-0.3694986,A-,no,0.6442667,D +1.1
30,CNN/Opinion Research Corp.,89,yes,no,yes,61,5.464831,0.758427,-0.2757123,-0.3671682,A-,no,-0.1073626,R +0.2
31,Los Angeles Times,40,yes,no,yes,24,5.23775,0.8625,-0.2377604,-0.3550468,A-,no,-0.6116667,R +1.4
32,MassINC Polling Group,11,yes,no,no,7,3.081819,1,-2.434031,-0.3221356,A-,no,-0.1775676,R +0.9
33,St. Norbert College,12,yes,no,no,11,3.868333,0.875,-1.838594,-0.3159249,A-,no,0.2531707,D +0.9
34,EPIC-MRA,43,yes,no,no,38,5.080698,0.8372093,-0.7529311,-0.2872285,A-,no,-0.3530883,R +0.6
35,Western New England University,11,yes,no,yes,10,5.827272,0.8636364,-0.2534983,-0.2825269,A-,no,-1.152,R +4.6
36,University of North Florida,4,yes,no,yes,2,4.490001,0.5,-0.9633091,-0.2763063,B+,no,0.31625,D +5.1
37,University of New Hampshire,93,yes,no,yes,77,5.252903,0.8763441,-0.1389312,-0.2622139,B+,no,1.658318,D +2.3
38,High Point University,2,yes,no,yes,2,0.9499989,1,-5.644591,-0.2609375,B+,no,0.005625,D +0.1
39,Indiana University,2,yes,no,yes,2,0.8549995,1,-4.171918,-0.2609375,B+,no,0.0534375,D +0.9
40,GfK Group,19,no,yes,yes,19,3.398947,0.9210526,-1.114287,-0.2479431,B+,no,-0.0914286,R +0.2
41,Castleton University,3,yes,no,yes,0,9.933333,1,-1.000844,-0.241399,B+,no,,
42,Lake Research Partners,9,yes,no,no,9,3.845555,0.8333333,-2.325385,-0.2354438,B+,no,0.4976923,D +2.2
43,Princeton Survey Research Associates International,32,yes,no,yes,31,4.63125,0.6875,0.0001773,-0.2281083,B+,no,0.2577049,D +0.5
44,Garin-Hart-Yang Research Group,22,yes,no,no,22,5.312727,0.8636364,-0.8991593,-0.2032834,B+,no,1.289231,D +3.0
45,Franklin & Marshall College,18,yes,no,yes,15,5.743888,0.9444444,0.0993153,-0.1940068,B+,no,-0.3782222,R +1.1
46,"RKM Research and Communications, Inc.",26,yes,no,no,18,5.593077,0.8653846,-0.7785377,-0.1913619,B+,no,-0.20625,R +0.6
47,University of South Alabama,8,yes,no,no,8,2.75125,1,-3.00668,-0.1882548,B+,no,-0.4060526,R +1.9
48,University of Florida,1,yes,no,yes,1,1.07,0.5,-2.230408,-0.1837669,B+,no,0.0345161,D +1.1
49,"Mason-Dixon Polling & Research, Inc.",415,yes,no,no,355,5.212409,0.8614458,-0.3800204,-0.1782705,B+,no,-0.9653247,R +1.0
50,Pew Research Center,20,yes,no,yes,20,3.4155,0.575,0.145644,-0.1745424,B+,no,0.5542,D +1.4
51,"National Research, Inc.",8,yes,no,no,6,5.0575,0.8125,-1.922492,-0.1719374,B+,no,-0.4511111,R +2.7
52,Market Shares Corp.,26,yes,no,yes,22,6.78423,0.8461539,0.1869822,-0.1458399,B+,no,-1.730577,R +4.1
53,Fleming & Associates,15,yes,no,no,13,5.078,1,-1.01001,-0.1400032,B+,no,-0.2902325,R +1.0
54,Market Research Insight,7,yes,no,no,5,1.784285,1,-4.398869,-0.1381958,B+,no,0.1891429,D +1.3
55,Montana State University Billings,7,yes,no,no,7,3.607142,0.5714286,-3.66488,-0.1381958,B+,no,0.5591892,D +3.0
56,Riley Research Associates,7,yes,no,no,7,2.657143,1,-2.378693,-0.1381958,B+,no,-0.1189189,R +0.6
57,Vanderbilt University,1,yes,no,yes,0,8.9,1,0.4947172,-0.1032922,B+,no,,
58,Elon University,4,yes,no,yes,4,3.960001,0.5,0.7268667,-0.0774621,B+,no,0.3794118,D +3.2
59,RT Strategies,42,yes,no,yes,42,5.762381,0.7142857,0.2686314,-0.059965,B+,no,1.091944,D +1.9
60,Public Policy Polling,383,no,no,no,263,4.918433,0.8237598,-0.496451,-0.054239,B+,no,-0.2037543,R +0.2
61,Greenberg Quinlan Rosner/American Viewpoint,5,yes,no,no,4,4.444001,1,-2.78075,-0.0283673,B+,no,-0.5597059,R +4.8
62,Ward Research (Honolulu Star-Advertiser),14,yes,no,no,14,6.003572,0.75,-0.7039244,-0.0234388,B+,no,-0.5524999,R +1.7
63,"Harstad Strategic Research, Inc.",9,yes,no,no,9,3.806667,0.7222222,-1.039461,-0.0137811,B+,no,0.7753847,D +3.4
64,Temple University,6,no,no,yes,5,3.66,1,-1.505706,-0.0026177,B+,no,-0.3531428,R +2.5
65,Suffolk University,67,yes,no,no,36,5.202538,0.8208955,-0.2230502,-0.0007645,B+,no,0.7319697,D +1.3
66,Pan Atlantic SMS Group,17,yes,no,no,15,6.778235,0.9117647,-0.5243747,0.0001968,B+,no,0.9171111,D +2.8
67,University of Washington,10,yes,no,no,10,3.988999,1,-0.871708,0.002073,B,no,0.22975,D +0.9
68,Clemson University,5,yes,no,no,1,10.296,1,-1.740682,0.0086781,B,no,-0.5387097,R +16.7
69,American Viewpoint,6,yes,no,no,6,3.958333,0.6666667,-1.350454,0.0232577,B,no,-0.6297222,R +3.8
70,Strategies 360,4,yes,no,no,4,2.035001,0.625,-3.152815,0.0320415,B,no,-0.0664706,R +0.6
71,"Davis, Hibbitts & Midghall, Inc.",12,yes,no,no,10,4.274167,0.8333333,-0.5770275,0.0445228,B,no,-0.04625,R +0.2
72,Pharos Research Group,31,yes,no,no,31,4.044839,0.9193549,-0.2087144,0.0578906,F,yes,0.8706558,D +1.7
73,Google Consumer Surveys,12,no,yes,no,12,2.224998,0.8333333,-1.944728,0.0815063,B,no,-0.6290476,R +2.2
74,University of Massachusetts Amherst,11,yes,no,no,2,6.527272,1,-0.4717854,0.0878732,B,no,-0.4478125,R +7.2
75,Philadelphia Inquirer,4,yes,no,no,4,2.98,1,-1.472829,0.0940616,B,no,-0.3141177,R +2.7
76,"Keating Research, Inc.",3,yes,no,no,3,2.220001,0.6666667,-3.04524,0.0966116,B,no,-0.0236364,R +0.3
77,Missouri State University,3,yes,no,no,3,4.366669,0.6666667,-2.393266,0.0966116,B,no,0.3727273,D +4.1
78,Mellman Group,21,yes,no,no,21,4.853333,0.7857143,-0.1846877,0.1032255,B,no,1.640784,D +4.0
79,Cole Hargrave Snodgrass & Associates,4,yes,no,no,3,6.345,0.75,-1.27962,0.1167922,B,no,0.3130303,D +3.4
80,University of Massachusetts Lowell,14,yes,no,no,6,5.262144,0.9285714,-0.2432433,0.1231416,B,no,-0.1452778,R +0.9
81,YouGov,707,no,yes,no,652,6.679067,0.927157,-0.2802982,0.1257655,B,no,1.598431,D +1.7
82,Voter/Consumer Research,6,yes,no,no,5,5.523332,1,-0.7016245,0.1313959,B,no,-0.208,R +1.5
83,SoonerPoll.com,16,yes,no,yes,12,8.496251,0.8125,1.036585,0.132007,B,no,1.817381,D +6.4
84,Richmond Times-Dispatch,4,yes,no,no,4,3.3025,1,-1.094253,0.1386,B,no,0.3414706,D +2.9
85,The Polling Company Inc.,3,yes,no,no,3,3.66,1,-1.482646,0.1436438,B,no,-0.0339394,R +0.4
86,Tarrance Group,24,yes,no,no,20,6.156667,0.8333333,-0.0477479,0.152112,B,no,-0.6604,R +1.7
87,Public Opinion Strategies,53,yes,no,no,51,5.884529,0.6603774,-0.0024708,0.1523213,B,no,-1.914321,R +3.0
88,Market Decisions,4,yes,no,no,4,5.164999,1,-0.9643474,0.153883,B,no,-0.0535294,R +0.5
89,McKeon & Associates,2,yes,no,no,1,0.9050007,1,-6.63812,0.1657812,B,no,-0.0277419,R +0.9
90,RBI Strategies & Research,2,yes,no,no,1,0.7049999,1,-6.571612,0.1657812,B,no,-0.0219355,R +0.7
91,Frederick Polls,2,yes,no,no,1,2.384998,0.75,-4.91725,0.1657812,B,no,-0.0187097,R +0.6
92,APC Research,2,yes,no,no,2,2.530001,1,-3.475548,0.1657812,B,no,0.158125,D +2.5
93,Tulchin Research,2,yes,no,no,2,3.450001,1,-3.162069,0.1657812,B,no,-0.215625,R +3.5
94,GBA Strategies,2,yes,no,no,2,3.689999,1,-2.702554,0.1657812,B,no,-0.230625,R +3.7
95,Stockton College,5,yes,no,no,5,4.468001,1,-0.6040429,0.1710551,B,no,0.5291429,D +3.7
96,Knowledge Networks,3,no,yes,yes,1,4.093333,1,-1.137104,0.1750567,B,no,-0.0083871,R +0.3
97,Kiley & Company,2,yes,no,no,2,5.1,1,-1.715313,0.1835742,B,no,0.2125,D +3.4
98,New England College,15,no,no,no,15,3.016667,0.7666667,-1.28471,0.1917635,B,no,-0.618,R +1.9
99,Moore Information,6,yes,no,no,6,6.453334,0.6666667,-0.3234115,0.1944314,B,no,-0.4694445,R +2.8
100,Landmark Communications,24,no,no,no,18,4.905416,0.875,-0.8656572,0.1952635,B,no,0.520625,D +1.4
101,"Market Research Institute, Inc.",9,no,no,no,9,2.932221,1,-2.360387,0.1953846,B,no,-0.3264102,R +1.4
102,"Glengariff Group, Inc.",7,yes,no,no,6,4.742857,0.7142857,-0.2333356,0.1960381,B,no,-0.0844445,R +0.5
103,Wilson Perkins Allen Opinion Research,3,yes,no,no,3,6.046667,0.6666667,-0.8394504,0.2021161,B,no,-0.26,R +2.9
104,Tel Opinion Research,12,yes,no,no,10,4.71,0.9583333,-0.0232964,0.2027316,B,no,-0.033,R +0.1
105,"Strategic Vision, LLC",129,no,no,no,106,3.977597,0.875969,-0.2980322,0.2061248,F,yes,-1.875662,R +2.4
106,Fox News/Opinion Dynamics Corp.,34,no,no,yes,28,3.916764,0.7205882,0.0941152,0.2112878,B,no,-0.4736207,R +1.0
107,Louisville Courier-Journal,10,no,no,no,10,3.298,0.8,-1.749224,0.212694,B,no,-0.3155,R +1.3
108,Vox Populi Communications,11,no,no,no,9,4.053637,0.7727273,-1.557624,0.2255154,B,no,-0.045641,R +0.2
109,University of Houston,1,yes,no,no,0,2.009998,1,-6.56673,0.240052,B,no,,
110,Florida International University/Univision,1,yes,no,no,1,1.800003,1,-5.67379,0.240052,B,no,0.0580645,D +1.8
111,QEV Analytics,1,yes,no,no,0,7.299999,0,-1.930019,0.2423095,B,no,,
112,Merrill Poll,2,yes,no,no,0,8.719999,1,-0.7337289,0.2449232,B,no,,
113,Hampton University,1,yes,no,no,1,3.48,1,-1.758506,0.2478422,B,no,0.1122581,D +3.5
114,Hill Research Consultants,4,yes,no,no,4,5.445002,0.5,-0.1437343,0.2504257,B,no,-0.3717647,R +3.2
115,Clarity Campaign Labs,4,yes,no,no,4,3.222499,0.625,-0.1181453,0.2534362,B,no,0.3761765,D +3.2
116,University of Wisconsin (Badger Poll),6,no,no,yes,5,6.928335,0.8333333,0.0432181,0.2555363,B,no,0.1785714,D +1.3
117,Financial Dynamics,15,no,no,no,15,2.767334,1,-1.082405,0.2591983,B,no,-0.6588889,R +2.0
118,George Washington University (Battleground),32,yes,no,no,32,3.4775,0.5625,0.1884734,0.2602735,B,no,-1.000323,R +1.9
119,Emerson College,34,no,no,yes,7,7.877353,0.8382353,0.1891719,0.2617866,B,no,-1.336216,R +7.1
120,"Fabrizio, Lee & Associates",2,yes,no,no,2,5.914999,0.5,-0.3674788,0.2678138,B,no,0.3621875,D +5.8
121,Dartmouth College,2,yes,no,no,0,9.000001,1,-0.3594726,0.2683142,B,no,,
122,Old Dominion University,1,yes,no,no,1,4.48,1,-0.9814692,0.2729079,B,no,0.1445161,D +4.5
123,Schoen Consulting,1,yes,no,no,1,2.269997,1,-0.7317172,0.2809644,B-,no,-0.0732258,R +2.3
124,Dittman Research,9,yes,no,no,6,5.900001,1,0.2394205,0.2813456,B-,no,1.011111,D +6.1
125,Baruch College,2,yes,no,no,0,5.664999,1,-0.1153156,0.283574,B-,no,,
126,Gallup,80,yes,no,yes,65,4.26975,0.7125,0.6398347,0.2952517,B-,no,-0.8367368,R +1.2
127,Greenberg Quinlan Rosner (Democracy Corps),48,yes,no,no,47,4.389375,0.4895833,0.2283793,0.295334,B-,no,2.381169,D +3.9
128,"Yankelovich Partners, Inc.",6,no,no,yes,3,6.990001,0.4166667,0.2964946,0.2977491,B-,no,-0.1090909,R +1.2
129,Belden Russonello,2,yes,no,no,2,4.734999,1,0.1887329,0.302577,B-,no,0.2078125,D +3.3
130,Probolsky Research,1,yes,no,no,1,4.860001,0,0.3057219,0.3144301,B-,no,-0.1567742,R +4.9
131,"Susquehanna Polling & Research, Inc.",29,yes,no,no,24,5.260345,0.7931035,0.3159967,0.3214479,B-,no,0.062037,D +0.1
132,NPR,3,yes,no,no,3,4.98,0.1666667,0.4934877,0.3232923,B-,no,0.0878788,D +1.0
133,University of Nevada Las Vegas,1,yes,no,no,0,8.999998,1,0.855173,0.3321544,B-,no,,
134,CallFire,4,yes,no,no,4,3.932501,0.75,0.5555269,0.3326918,B-,no,-0.4626471,R +3.9
135,DFM Research,5,yes,no,no,5,6.262,0.8,0.5289689,0.3329139,B-,no,0.8945714,D +6.3
136,Victoria Research & Consulting,1,yes,no,no,1,8.050003,0.5,1.038904,0.3380812,B-,no,0.2596774,D +8.1
137,Christopher Newport University,3,yes,no,no,3,6.789999,1,0.7369769,0.3454276,B-,no,0.6172727,D +6.8
138,"Ethridge & Associates, LLC",6,no,no,no,6,2.671668,0.8333333,-2.362378,0.3466667,B-,no,-0.1202778,R +0.7
139,Clarus Research Group,3,yes,no,no,2,6.753332,1,0.812274,0.3522728,B-,no,0.505625,D +8.1
140,Virginia Commonwealth University,5,yes,no,no,5,4.898,1,0.7520552,0.3647834,B-,no,-0.2768571,R +1.9
141,Benenson Strategy Group,9,yes,no,no,9,6.210001,0.5,0.6173753,0.3685659,B-,no,0.6566666,D +2.8
142,Southern Media & Opinion Research,4,yes,no,no,2,6.4275,1,0.8638199,0.3689615,B-,no,0.003125,D +0.1
143,Middle Tennessee State University,4,yes,no,no,3,8.01,1,0.8646795,0.3690626,B-,no,0.1169697,D +1.3
144,Capital Survey Research Center,11,no,no,no,4,7.756364,0.3636364,-1.020068,0.3697377,B-,no,0.0670588,D +0.6
145,Val Smith,1,yes,no,no,1,8.519997,1,2.047489,0.3706162,B-,no,-0.2748387,R +8.5
146,Hoffman Research Group,1,yes,no,no,1,7.09,1,2.152493,0.3740034,B-,no,-0.2287097,R +7.1
147,Potomac Incorporated,8,no,no,no,6,4.5475,0.875,-1.350889,0.3798128,B-,no,-0.5227778,R +3.1
148,Harper Polling,9,no,no,no,5,4.128889,1,-1.147167,0.3921922,B-,no,0.254,D +1.8
149,Crawford Johnson & Northcott Inc.,5,no,no,no,1,4.649999,1,-2.97579,0.4028572,B-,no,0.1048387,D +3.3
150,"Fairbank, Maslin, Maullin, Metz & Associates",7,yes,no,no,7,5.868571,0.7857143,0.8757483,0.4058647,B-,no,1.048108,D +5.5
151,OpinionWorks,6,yes,no,no,6,7.3,0.9166667,0.9682027,0.4097005,B-,no,-0.5077778,R +3.0
152,Rutgers University,13,yes,no,yes,13,5.684615,0.8461539,2.125943,0.4210937,B-,no,0.0981395,D +0.3
153,Feldman Group,1,yes,no,no,1,10.8,0,3.679445,0.4232599,B-,no,0.3483871,D +10.8
154,"Schroth, Eldon & Associates",8,no,no,no,6,3.151251,0.875,-1.118056,0.4288304,B-,no,0.5586111,D +3.4
155,Overtime Politics,12,yes,no,no,0,9.816668,0.6666667,0.8134353,0.4417978,F,yes,,
156,"North Star Opinion Research/Ayres, McHenry & Associates",2,yes,no,no,2,7.030001,0.5,2.597078,0.4530987,B-,no,-0.439375,R +7.0
157,"International Communications Research, Inc.",5,no,no,no,5,3.128002,0.2,-1.632694,0.4553295,B-,no,-0.0714286,R +0.5
158,Wilson Research Strategies,10,yes,no,no,9,6.941,0.65,0.9508294,0.4577073,B-,no,-0.1258975,R +0.5
159,University of Texas,4,no,yes,no,4,1.202499,1,-5.019946,0.462353,B-,no,0.1285294,D +1.1
160,Orion Strategies,4,no,no,no,3,3.065,1,-3.625905,0.462353,B-,no,0.1175758,D +1.3
161,Alabama State University,4,no,no,no,0,6.400001,0.5,-3.430982,0.462353,B-,no,,
162,Northern Arizona University,4,no,no,no,4,3.5825,1,-3.265447,0.462353,B-,no,-0.3908823,R +3.3
163,Marshall Marketing & Communications,4,no,no,no,3,2.785,1,-2.196468,0.462353,B-,no,-0.2,R +2.2
164,IVR Polls,4,no,no,no,0,4.049999,1,-2.178545,0.462353,B-,no,,
165,"Gonzales Research & Marketing Strategies, Inc.",9,yes,no,no,8,6.387777,0.7777778,1.026439,0.4629651,B-,no,-0.4463158,R +2.1
166,SocialSphere,2,yes,no,no,2,6.139999,1,2.892591,0.4715682,B-,no,-0.38375,R +6.1
167,Howey Politics/DePauw University,7,yes,no,no,6,6.798572,0.5714286,1.241041,0.4749742,B-,no,0.0952778,D +0.6
168,OnPoint,4,no,no,no,4,1.652499,1,-1.880882,0.4763669,B-,no,0.1926471,D +1.6
169,Scripps Howard,4,no,no,no,4,3.785,1,-1.85246,0.4797106,B-,no,-0.0652941,R +0.6
170,Loras College,10,yes,no,no,6,9.705,0.7,1.042769,0.4806923,B-,no,1.060833,D +6.4
171,KRC/Communications Research,22,no,no,no,11,6.891364,0.9090909,-0.2466019,0.4833607,B-,no,0.1941463,D +0.7
172,"Richard Day Research, Inc.",11,no,no,no,11,5.504546,1,-0.5917472,0.4846532,B-,no,-0.7704878,R +2.9
173,"Frank N. Magid Associates, Inc.",4,no,no,no,4,4.634998,1,-1.810037,0.4847015,B-,no,0.5452942,D +4.6
174,Franklin Pierce University,21,yes,no,no,12,6.636666,0.8333333,0.7721329,0.4972104,B-,no,1.279762,D +4.5
175,Penn Schoen Berland,18,no,yes,yes,18,7.587778,0.6666667,0.8800772,0.5169039,B-,no,2.52875,D +6.7
176,US News & World Report,3,no,no,no,3,1.916667,1,-4.68424,0.5254546,B-,no,-0.0766667,R +0.8
