ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias,Party Bias
177,Iowa State University,3,no,no,no,0,6.286667,0.6666667,-3.536943,0.5254546,B-,no,,
178,RAND (American Life Panel),3,no,yes,no,3,1.236666,1,-3.393079,0.5254546,B-,no,-0.0390909,R +0.4
179,MSR Group,3,no,no,no,3,3.466666,1,-2.792488,0.5254546,B-,no,0.3151515,D +3.5
180,Personal Marketing Research,3,no,no,no,0,6.176666,0.6666667,-2.216456,0.5254546,B-,no,,
181,Gravis Marketing,55,no,no,no,29,5.804545,0.7909091,0.0352,0.5298353,B-,no,-1.05983,R +2.2
182,Lauer Johnson Research,1,yes,no,no,1,13.82,0,7.17943,0.5361627,B-,no,0.4458064,D +13.8
183,University of Illinois at Chicago,1,no,no,yes,1,14.09,1,7.184,0.5363101,B-,no,-0.4545161,R +14.1
184,"Political Marketing International, Inc./Red Racing Horses",4,no,no,no,4,4.31,0.625,-1.237512,0.5520574,B-,no,0.1341176,D +1.1
185,Purple Strategies,4,no,yes,no,4,3.02,0.875,-1.233342,0.552548,B-,no,-0.3552941,R +3.0
186,Research 2000,279,no,no,no,247,5.539391,0.8781362,0.1581388,0.557737,F,yes,1.389458,D +1.6
187,"Baselice & Associates, Inc.",2,yes,no,no,1,9.98,1,4.345331,0.5623645,C+,no,0.2241935,D +7.0
188,Marketing Resource Group (MRG),6,yes,no,no,3,11.045,0.1666667,1.893977,0.5639963,C+,no,-0.2712121,R +3.0
189,University of Wisconsin Milwaukee,3,no,no,no,3,5.283331,1,-1.472478,0.5734111,C+,no,-0.480303,R +5.3
190,Braun Research,3,yes,no,no,3,9.113332,1,3.254724,0.5743138,C+,no,0.8284848,D +9.1
191,Market Solutions Group,4,no,no,no,2,4.347498,1,-1.018784,0.5777901,C+,no,-0.0078125,R +0.1
192,CVOTER International,3,no,yes,no,3,2.859997,1,-1.264761,0.5922945,C+,no,-0.26,R +2.9
193,M4 Strategies,2,no,yes,no,2,3.09,1,-6.183712,0.5925,C+,no,-0.193125,R +3.1
194,Louis Harris & Associates,2,no,no,no,2,0.8999977,1,-4.460755,0.5925,C+,no,0.05625,D +0.9
195,Master Image,2,no,no,no,0,1.170002,1,-4.144325,0.5925,C+,no,,
196,Douglas Fulmer & Associates,2,no,no,no,0,5.07,1,-2.879431,0.5925,C+,no,,
197,Forward Strategies,2,no,no,no,2,1.305,1,-2.716085,0.5925,C+,no,0.0815625,D +1.3
198,Lincoln Institute,2,no,no,no,2,4.129999,0.75,-2.671461,0.5925,C+,no,-0.258125,R +4.1
199,Crosswind Media & Public Relations,2,no,no,no,0,6.504997,1,-1.965679,0.594645,C+,no,,
200,Texas Credit Union League,2,no,no,no,0,6.950001,1,-1.931398,0.5967876,C+,no,,
201,Wirthlin Worldwide,4,no,no,no,4,4.559999,0.75,-0.8325889,0.5996954,C+,no,-0.46,R +3.9
202,"Talmey-Drake Research & Strategy, Inc.",9,yes,no,no,9,7.676666,0.5,1.634799,0.6033561,C+,no,-0.4079487,R +1.8
203,Dixie Strategies,3,no,no,no,0,7.883335,0.8333333,-0.9210004,0.6235454,C+,no,,
204,Manhattanville College,3,no,no,no,2,6.546667,1,-0.9161616,0.6239854,C+,no,-0.51375,R +8.2
205,Midwest Survey and Research,3,no,no,no,3,7.273332,1,-0.8757078,0.627663,C+,no,-0.0951515,R +1.0
206,Florida Atlantic University,2,no,no,no,0,3.740002,1,-1.344293,0.6334817,C+,no,,
207,Hendrix College,9,no,no,no,9,6.692223,0.8888889,-0.0456696,0.6463839,C+,no,1.544359,D +6.7
208,StPetePolls.org,2,no,no,no,2,1.975,0.25,-1.032915,0.6529428,C+,no,0.1234375,D +2.0
209,Canisius College,1,no,no,no,0,0.0999985,1,-5.780735,0.663871,C+,no,,
210,University of Tennessee,1,no,no,no,1,2.73,1,-5.637769,0.663871,C+,no,-0.0880645,R +2.7
211,Market Strategies International,1,no,no,no,1,1.100002,1,-5.619658,0.663871,C+,no,-0.0354839,R +1.1
212,RMS Research,1,no,no,no,1,0.9199982,1,-5.405038,0.663871,C+,no,-0.0296774,R +0.9
213,"Dynamic Marketing, Inc.",1,no,no,no,1,3.010002,1,-4.096936,0.663871,C+,no,0.0970968,D +3.0
214,Cranford & Associates,1,no,yes,no,1,2.459999,1,-3.865096,0.663871,C+,no,0.0793548,D +2.5
215,Wood Communications Group,1,no,no,no,1,0.8400002,1,-3.795208,0.663871,C+,no,0.0270968,D +0.8
216,"Lauer Lalley Victoria, Inc.",1,no,no,no,1,1.700001,1,-3.600807,0.663871,C+,no,-0.0548387,R +1.7
217,BIGresearch,1,no,yes,no,0,1.99,1,-3.573571,0.663871,C+,no,,
218,Cooper & Secrest,1,no,no,no,1,2.639999,0,-3.531607,0.663871,C+,no,-0.0851613,R +2.6
219,"Central Surveys, Inc.",1,no,no,no,1,1.670002,0,-3.300999,0.663871,C+,no,0.053871,D +1.7
220,University of North Carolina,1,no,no,no,1,1.600002,1,-3.027152,0.663871,C+,no,0.0516129,D +1.6
221,Multi-Quest International,1,no,no,no,0,4.110001,0,-3.026632,0.663871,C+,no,,
222,MBQF,1,no,no,no,0,4.34,1,-2.899745,0.663871,C+,no,,
223,Multi Quest International Inc,1,no,no,no,1,1.870003,1,-2.808818,0.663871,C+,no,0.0603226,D +1.9
224,Aspen Media & Market Research,1,no,no,no,1,3.470001,1,-2.662441,0.663871,C+,no,-0.1119355,R +3.5
225,New Mexico State University,1,no,no,no,0,6.799999,0,-2.540729,0.663871,C+,no,,
226,Red Sea Communications,1,no,no,no,1,4.369999,1,-2.386578,0.663871,C+,no,-0.1409677,R +4.4
227,Winston Group,1,no,no,no,1,6.34,1,-2.354104,0.663871,C+,no,0.2045161,D +6.3
228,Diamond State Consulting Group,1,no,no,no,1,4.18,1,-2.223317,0.663871,C+,no,0.1348387,D +4.2
229,Neighborhood Research Corporation,1,no,no,no,1,3.43,1,-2.079472,0.663871,C+,no,-0.1106452,R +3.4
230,Diversified Research Inc,1,no,no,no,1,4.989998,1,-2.045131,0.663871,C+,no,-0.1609677,R +5.0
231,Jim Meader (KELOLAND-TV),4,no,no,no,4,4.58,1,-0.2506716,0.6681563,C+,no,0.5388235,D +4.6
232,Rivercity Polling,1,no,no,no,1,6.700001,1,-1.669694,0.674526,C+,no,-0.216129,R +6.7
233,War Room Logistics,1,no,no,no,0,4.500002,1,-1.593909,0.6769707,C+,no,,
234,Constituent Dynamics,7,no,no,no,1,7.371428,0.8571429,0.0396937,0.6794015,C+,no,-0.0419355,R +1.3
235,Forman Center,1,no,no,no,1,2.599998,1,-1.235136,0.688544,C+,no,0.083871,D +2.6
236,Triumph Campaigns,1,no,no,no,1,4.220001,1,-1.226124,0.6888347,C+,no,-0.136129,R +4.2
237,OnMessage Inc.,6,yes,no,no,6,9.120001,0.6666667,2.650935,0.6901558,C+,no,-1.097778,R +6.6
238,Iona College,1,no,no,no,1,4.400002,1,-1.141264,0.6915721,C+,no,0.1419355,D +4.4
239,Analytical Group,1,no,no,no,1,4,1,-1.064257,0.6940563,C+,no,0.1290323,D +4.0
240,Arizona State University,8,yes,no,no,6,7.95625,1,2.194991,0.6949012,C+,no,0.9141667,D +5.5
241,McCulloch Research & Polling,3,no,no,no,3,4.94,0.6666667,-0.1353298,0.69497,C+,no,-0.2624242,R +2.9
242,Rhode Island College,5,no,no,no,4,6.070001,1,0.0467906,0.6952558,C+,no,-0.18,R +1.5
243,NRECA Market Research,1,no,no,no,1,6.27,1,-0.9800321,0.6967732,C+,no,0.2022581,D +6.3
244,Wick Communications,1,no,no,no,1,2.84,1,-0.8113414,0.7022148,C+,no,0.0916129,D +2.8
245,West Chester University,7,no,no,no,7,5.19,1,0.1639337,0.7029064,C+,no,0.1856757,D +1.0
246,Ohio State University,1,no,no,no,1,3.670002,1,-0.7093974,0.7055033,C+,no,-0.1183871,R +3.7
247,Gordon S. Black Corp.,2,no,no,no,2,6.335001,1,-0.1263715,0.7096018,C+,no,-0.3959375,R +6.3
248,Market Trends Pacific,1,no,no,no,1,4.599998,0.5,-0.5150147,0.7117738,C+,no,0.1483871,D +4.6
249,Y2 Analytics,1,yes,no,no,0,28.37,1,12.64241,0.7123879,C+,no,,
250,Western Kentucky University,3,yes,no,no,2,13.71,0.6666667,4.774007,0.7124304,C+,no,0.79625,D +12.7
251,ASA Marketing Group,1,no,no,no,1,5.540001,1,-0.3800113,0.7161287,C+,no,0.1787097,D +5.5
252,RABA Research,1,no,no,no,0,3.75,1,-0.3664897,0.7165648,C+,no,,
253,Rice University,2,no,no,no,2,5.884998,1,0.1010012,0.7238126,C+,no,0.3678125,D +5.9
254,St. Cloud State University,9,yes,no,no,9,6.49,0.6666667,2.171572,0.7272267,C+,no,0.4382052,D +1.9
255,"Wiese Research Associates, Inc.",7,yes,no,no,7,8.801428,1,2.577878,0.7278892,C+,no,1.296486,D +6.9
256,University of Iowa,3,yes,no,no,1,15.86667,0.6666667,5.026736,0.7354057,C+,no,-0.2132258,R +6.6
257,Saint Leo University,1,no,no,no,1,4.07,0,0.237868,0.7360603,C+,no,0.1312903,D +4.1
258,Hellenthal & Associates,5,yes,no,no,3,8.169998,0.4,3.352582,0.7362872,C+,no,0.3978788,D +4.4
259,Hays Research Group,7,yes,no,no,3,7.678571,0.7142857,2.625287,0.7368585,C+,no,1.083333,D +11.9
260,American Research Group,260,yes,no,no,76,7.580269,0.7538462,0.632772,0.7373723,C+,no,-0.1307547,R +0.2
261,Cromer Group,1,no,no,no,1,3.899998,1,0.4417268,0.7426364,C+,no,-0.1258065,R +3.9
262,Liberty Opinion Research,1,no,no,no,0,5.73,1,0.4906219,0.7442136,C+,no,,
263,Strategic Services,1,no,no,no,1,5.490002,0,0.4943201,0.7443329,C+,no,0.1770968,D +5.5
264,Rasmussen Reports/Pulse Opinion Research,657,no,no,no,516,5.29653,0.7876712,0.3687695,0.7483866,C+,no,-1.990934,R +2.1
265,Rossman Group,1,no,no,no,1,4.209999,1,0.6295655,0.7486957,C+,no,0.1358065,D +4.2
266,MarblePort,2,no,no,no,1,5.550001,1,0.5414361,0.7513398,C+,no,-0.2006451,R +6.2
267,University of South Florida,1,no,no,no,1,3.850002,1,0.7547381,0.7527335,C+,no,-0.1241935,R +3.9
268,Basswood Research,2,no,no,no,1,10.715,1,0.6128843,0.7558053,C+,no,-0.4209678,R +13.1
269,Zimmerman & Associates/Marketing Intelligence,3,no,no,no,3,4.673334,1,0.6069778,0.7624525,C+,no,0.2939394,D +3.2
270,ResearchNow,2,no,no,no,0,9.370001,1,0.7796888,0.7662306,C+,no,,
271,R.L. Repass & Partners,1,no,no,no,0,11.15,1,1.196166,0.7669731,C+,no,,
272,Harvard University,1,no,no,no,1,6.899998,0,1.198296,0.7670418,C+,no,0.2225806,D +6.9
273,Dan Jones & Associates,34,no,no,no,30,7.885588,0.9705882,0.41151,0.7673647,C+,no,0.9113333,D +1.8
274,West Virginia Research Center,2,no,no,no,2,6.450001,0.5,0.9225496,0.7751594,C+,no,0.403125,D +6.5
275,Global Strategy Group,21,yes,no,no,21,7.070952,0.6666667,1.452393,0.7773176,C+,no,1.945686,D +4.7
276,Becker Institute,3,no,no,no,3,7.606665,0.6666667,0.8376979,0.7834271,C+,no,0.6915151,D +7.6
277,Hamilton Campaigns,8,yes,no,no,8,7.02375,0.5625,2.637648,0.788092,C+,no,1.478684,D +7.0
278,TeleResearch Corporation,1,no,no,no,0,8.599998,1,2.165789,0.7982513,C+,no,,
279,Roanoke College,12,yes,no,yes,9,9.015833,0.75,3.579617,0.8043804,C+,no,0.2964102,D +1.3
280,"Normington, Petts & Associates",10,no,no,no,10,6.419999,0.6,0.618274,0.8045685,C+,no,0.668,D +2.7
281,Research America Inc.,2,yes,no,no,0,20.74,1,8.235606,0.8055066,C+,no,,
282,Opinion Consultants,2,no,no,no,2,6.470001,1,1.44259,0.8076619,C+,no,-0.404375,R +6.5
283,Kimball Political Consulting,4,yes,no,no,4,8.1,0.75,4.656388,0.815146,C+,no,-0.9529412,R +8.1
284,CrossTarget,2,no,no,no,2,7.699997,1,1.592398,0.8170249,C+,no,-0.48125,R +7.7
285,Great Lakes Strategies Group,1,no,no,no,1,7.599998,0,2.755818,0.8172845,C+,no,-0.2451613,R +7.6
286,"Public Strategies, Inc.",6,no,no,no,0,7.883333,1,0.8238751,0.8173125,C+,no,,
287,Columbus Dispatch,18,no,no,no,15,4.929444,0.9722222,0.5711799,0.8191925,C+,no,1.148889,D +3.4
288,Independent Market Research,2,no,no,no,2,5.73,1,1.710033,0.8243771,C+,no,0.333125,D +5.3
289,University of Georgia,1,no,no,no,1,9.780003,1,3.03191,0.8261907,C+,no,-0.3154839,R +9.8
290,Lycoming College,3,no,no,no,3,7.283331,0.6666667,1.310083,0.8263713,C+,no,0.6621212,D +7.3
291,Star Tribune,13,yes,no,no,11,6.32077,0.4615385,2.071645,0.8310761,C+,no,1.476341,D +5.5
292,Illinois Wesleyan University,3,no,no,no,3,8.166668,1,1.371075,0.8319159,C+,no,-0.7424242,R +8.2
293,Ron Lester and Associates,1,no,no,no,0,18.9,1,3.27501,0.8340326,C+,no,,
294,JMC Enterprises,5,no,no,no,4,7.836,1,1.04711,0.8381585,C,no,-0.8964705,R +7.6
295,TMR Research,2,no,no,no,2,7.844999,0,2.01332,0.8433325,C,no,0.4903125,D +7.8
296,Ed Renwick,5,no,no,no,2,6.478001,0.8,1.109414,0.8470592,C,no,0.08125,D +1.3
297,A&A Research,1,no,no,no,1,10.1,0,3.735664,0.8488924,C,no,-0.3258065,R +10.1
298,Southern Opinion Research,1,no,no,no,1,9.399998,1,3.745023,0.8491943,C,no,0.3032258,D +9.4
299,Decision Forecasting,3,no,no,no,3,8.09,1,1.603736,0.8530669,C,no,-0.1287879,R +1.4
300,"California State University, Bakersfield",1,no,no,no,1,9.849998,0,3.872054,0.8532921,C,no,-0.317742,R +9.9
301,New Frontier Strategy,1,no,no,no,0,21.6,0,3.944951,0.8556436,C,no,,
302,Magellan Strategies,13,no,no,no,7,7.706924,0.9230769,0.757229,0.8600925,C,no,-0.5818919,R +3.1
303,Cherry Communications,2,no,no,no,1,9.215001,0.75,2.533788,0.8758618,C,no,-0.1267742,R +3.9
304,Marketing Research Institute,1,no,no,no,1,7.400002,0,4.585329,0.8763009,C,no,-0.2387097,R +7.4
305,Polling Company/Global Strategy Group (Hotline Bullseye),3,no,no,no,3,4.560001,0.3333333,1.951185,0.8846532,C,no,-0.4145454,R +4.6
306,Glascock Group,1,no,no,no,0,12.06,0,4.845338,0.8846883,C,no,,
307,Target Insyght,1,no,no,no,0,15.38,1,4.940274,0.8877508,C,no,,
308,Glover Park Group,1,no,no,no,1,11.36,0,4.942946,0.887837,C,no,-0.3664516,R +11.4
309,Inside Michigan Politics,1,no,no,no,0,13.2,0,5.020034,0.8903237,C,no,,
310,Zata3,2,no,no,no,2,10.15,1,2.801866,0.8926166,C,no,-0.246875,R +4.0
311,Tulsa Surveys,1,no,no,no,1,11.9,1,5.20729,0.8963642,C,no,-0.383871,R +11.9
312,Momentum Analysis,3,yes,no,no,3,13.67,0.3333333,6.81823,0.8982689,C,no,0.5221212,D +5.7
313,Ivan Moore Research,5,yes,no,no,5,9.431999,0.4,4.504037,0.9007809,C,no,1.347429,D +9.4
314,Arthur J. Finkelstein & Associates,1,no,no,no,1,13.67,0,5.452302,0.9042678,C,no,-0.4409677,R +13.7
315,GaPundit.com,2,no,no,no,2,8.254999,0.25,3.024149,0.9065093,C,no,0.5159375,D +8.3
316,"SMS Research & Marketing Services, Inc.",1,no,no,no,1,9.75,0,5.729865,0.9132215,C,no,-0.3145161,R +9.8
317,GCR & Associates,1,no,no,no,0,18.3,1,6.056962,0.923773,C,no,,
318,Minnesota State University Moorhead,4,no,no,no,3,9.25,1,2.02575,0.9359707,C,no,0.5363637,D +5.9
319,PSI,3,no,no,no,1,12.45,0.6666667,2.518881,0.936262,C,no,-0.1070968,R +3.3
320,"MarketAide Services, Inc.",1,no,no,no,1,11.2,1,6.915292,0.9514611,C,no,0.3612903,D +11.2
321,ccAdvertising,30,yes,no,no,28,7.067333,0.8833333,1.596811,0.9634057,C,no,-2.575172,R +5.3
322,Bannon Communications,2,no,no,no,2,10.37,1,4.003689,0.9677306,C,no,0.648125,D +10.4
323,Anzalone Liszt Grove Research,11,yes,no,no,11,7.632727,0.5454546,2.843413,0.9773166,C,no,1.36,D +5.1
324,Anderson Group,1,no,no,no,1,10.9,0,7.780523,0.9793717,C,no,-0.3516129,R +10.9
325,Big Ten,10,no,no,no,10,4.799,1,1.359216,0.989804,C,no,1.12325,D +4.5
326,University of New Orleans,9,no,no,no,6,6.653334,0.7777778,1.473626,0.9969907,C,no,0.2897222,D +1.7
327,Abacus Associates,2,no,no,no,2,12.065,0.5,4.874902,1.022181,C,no,-0.0290625,R +0.5
328,Maine People's Resource Center,7,no,no,no,6,7.539999,0.8571429,1.861134,1.023998,C,no,0.2541667,D +1.5
329,Datamar,8,no,no,no,5,6.289999,0.6875,1.743874,1.031342,C,no,-0.4097143,R +2.9
330,Schapiro Group,2,no,no,no,0,20,1,5.036587,1.032287,C,no,,
331,Critical Insights,17,yes,no,no,15,8.617059,0.8823529,2.374904,1.048872,C,no,0.298,D +0.9
332,Greg Smith and Associates,5,no,no,no,5,8.530001,0.6,2.576494,1.056642,C,no,1.218572,D +8.5
333,TargetPoint,3,no,no,no,0,13.97,0.8333333,3.905684,1.062335,C,no,,
334,Jeffrey Stonecash,1,no,no,no,1,17.33,0,10.73795,1.074773,C,no,-0.5590323,R +17.3
335,Trafalgar Group,12,no,no,no,0,9.118333,0.9166667,1.586916,1.090547,C,no,,
336,We Ask America,52,no,no,no,33,6.951539,0.8269231,0.9202591,1.095286,C,no,-0.9166667,R +1.8
337,Merriman River Group,21,yes,no,no,19,7.683808,0.8095238,2.281184,1.118584,C-,no,-2.371837,R +6.1
338,Opinion Savvy/InsiderAdvantage,105,no,no,no,29,7.794381,0.7142857,0.8523786,1.122961,C-,no,0.7289831,D +1.5
339,Rainmaker Media Group,1,no,no,no,1,12.72,1,12.481,1.131,C-,no,0.4103226,D +12.7
340,Consumer Logic,4,no,no,no,4,8.777499,0.5,3.783531,1.142768,C-,no,0.6385294,D +5.4
341,University of Alabama,2,no,no,no,2,12.025,1,6.971654,1.153228,C-,no,-0.7515625,R +12.0
342,McLaughlin & Associates,19,no,yes,no,19,5.68,0.8421053,1.461089,1.166953,C-,no,-0.4555102,R +1.2
343,Neighbor,1,no,no,no,1,17.09,1,13.6828,1.169768,C-,no,-0.5512903,R +17.1
344,Zogby Interactive/JZ Analytics,465,no,yes,no,364,5.623549,0.7827957,0.8213917,1.173429,C-,no,-0.7988071,R +0.9
345,Southeastern Louisiana University,8,no,no,no,5,6.627501,0.875,2.423924,1.17451,C-,no,0.0431428,D +0.3
346,Harris Interactive,135,no,yes,yes,135,5.485185,0.8592592,1.241745,1.176056,C-,no,-1.521576,R +1.9
347,Ohio University,2,no,no,no,2,8.790001,0.5,7.669087,1.196818,C-,no,0.549375,D +8.8
348,20/20 Insight,5,no,no,no,2,16.6,0.4,3.611532,1.204505,C-,no,0.0125,D +0.2
349,Indiana University-Purdue University Fort Wayne,3,yes,no,no,0,23.5,0,10.31226,1.215908,C-,no,,
350,Opinion Research Associates,12,yes,no,no,12,7.93,0.7083333,3.68492,1.262222,C-,no,1.748571,D +6.1
351,Optimus,4,no,no,no,2,13.3175,0.5,4.963184,1.281551,C-,no,-0.833125,R +13.3
352,SurveyMonkey,11,no,yes,no,0,11.22182,0.9090909,2.487321,1.310745,C-,no,,
353,Loyola University (New Orleans),2,no,no,no,2,12.12,1,9.550997,1.314437,C-,no,0.7575,D +12.1
354,Clout Research/Wenzel Strategies,9,yes,no,no,8,8.955556,0.3333333,4.722919,1.315999,C-,no,-1.733684,R +8.2
355,Data West Polling,3,no,no,no,3,14.56667,0.3333333,7.033769,1.346706,C-,no,1.324242,D +14.6
356,Baydoun Consulting,6,no,no,no,4,6.831667,0.8333333,4.000275,1.346713,C-,no,-1.029118,R +8.7
357,Fort Hays State University,4,yes,no,no,0,23.7975,0.5,9.269634,1.357881,C-,no,,
358,Brown University,12,yes,no,no,7,11.39083,0.8333333,4.035566,1.362407,C-,no,-0.4075676,R +2.2
359,Nielson Brothers Polling,6,no,no,no,6,8.509999,0.8333333,4.136522,1.36942,C-,no,1.418333,D +8.5
360,WCIA-TV,2,no,no,no,2,18.295,1,10.73353,1.388345,C-,no,-1.143438,R +18.3
361,CPEC LLC,3,no,no,no,0,16.16333,1,7.698291,1.407117,D+,no,,
362,Marketing Workshop,7,no,no,no,7,9.738572,0.5714286,4.001523,1.428937,D+,no,0.2970271,D +1.6
363,Riggs Research Services,1,no,no,no,1,33.7,0,24.00029,1.50259,D+,no,1.087097,D +33.7
364,Dane & Associates,2,no,no,no,2,21.2,0.5,13.06037,1.533773,D+,no,-1.325,R +21.2
365,Brigham Young University,4,no,no,no,4,16.52,0.75,7.166168,1.540726,D+,no,1.943529,D +16.5
366,Massie & Associates,2,no,no,no,2,23.9,0,14.35812,1.614882,D+,no,-1.49375,R +23.9
367,Valley Research,6,no,no,no,6,11.485,0.8333333,5.722838,1.633806,D+,no,0.4002777,D +2.4
368,Millersville University,5,no,no,no,5,14.062,0.8,7.160359,1.71148,D,no,-1.494571,R +10.5
369,Jayhawk Consulting,1,no,no,no,1,42.94,0,31.77465,1.753376,D,no,1.385161,D +42.9
370,Mitchell Research & Communications,47,no,no,no,25,8.176383,0.7021276,2.150604,1.832966,D,no,-0.1001818,R +0.2
371,Humphrey Institute,10,no,no,no,8,13.065,0.4,6.779624,2.344906,D-,no,0.7981579,D +3.8
372,TCJ Research,133,no,no,no,125,6.446767,0.5864662,3.160468,3.025044,F,yes,-4.510129,R +5.6
